tsne_1,tsne_2,source,label
5.9488177,-6.172502,Train,task_working
7.829644,-10.00489,Train,task_working
-0.42174205,1.6189072,Train,rest
-9.994442,7.0897045,Train,task_story
-7.3853297,13.63378,Train,task_story
-6.303231,13.773738,Train,task_story
-2.6751406,4.0143905,Train,task_motor
7.101227,-7.911749,Train,task_working
-8.604695,7.1663685,Train,task_story
2.701736,-3.4291687,Train,task_working
3.7398837,-4.0736933,Train,task_working
-2.0691457,1.809939,Train,rest
0.20371535,0.27161586,Train,task_motor
2.0267828,-2.1085722,Train,task_motor
-6.65391,5.014872,Train,task_story
-6.1805544,15.026097,Train,task_story
-10.832745,9.992664,Train,task_story
-5.6886497,4.0938997,Train,task_story
-9.308832,6.7960806,Train,task_motor
-11.14506,9.80525,Train,rest
1.7504947,-2.3382819,Train,task_motor
-9.823069,7.63421,Train,task_story
7.7808886,-8.32209,Train,task_working
-9.236277,6.424871,Train,rest
4.706549,-6.2441864,Train,task_working
-10.665157,10.683189,Train,rest
0.76501906,-0.801061,Train,task_motor
3.6422288,-4.9978924,Train,task_motor
3.0184605,-3.0461202,Train,task_motor
5.050071,-5.509103,Train,task_working
-1.0113468,2.0418823,Train,rest
5.327668,-7.6030016,Train,task_working
-7.088787,14.133084,Train,task_story
-2.6833215,2.427724,Train,rest
6.0784383,-7.578277,Train,task_working
-0.33496147,0.9049396,Train,task_working
-5.4847717,4.894513,Train,task_motor
-4.748667,4.2512937,Train,rest
-0.9831614,1.3993075,Train,task_motor
2.1678033,-2.974921,Train,rest
-5.751589,4.49398,Train,rest
-10.9574375,9.16765,Train,task_story
7.430985,-9.432675,Train,task_working
-10.905809,9.274507,Train,rest
-6.195541,5.2835655,Train,rest
1.4317409,-1.0483799,Train,task_working
-5.5208864,14.168979,Train,task_story
-6.4412193,4.7808547,Train,rest
4.483105,-3.9098985,Train,task_working
2.6262167,-2.4519494,Train,task_motor
-5.7848296,14.551561,Train,task_story
7.865,-10.50107,Train,task_motor
5.6448674,-7.867352,Train,task_working
-1.2923042,0.03964109,Train,task_working
-8.953813,7.049362,Train,rest
-9.857388,11.781629,Train,task_story
-7.14479,13.769511,Train,task_story
-0.6706908,0.75574565,Train,task_motor
-4.632112,3.899904,Train,task_motor
-8.82506,6.1425076,Train,rest
-7.000423,5.382782,Train,rest
-6.743617,13.866576,Train,task_story
7.0263414,-8.277197,Train,task_motor
1.1957859,-1.4311044,Train,task_motor
-10.368757,8.090364,Test1,rest
7.30431,-8.956049,Test1,task_working
-8.853793,12.615394,Test1,task_story
-0.64499426,-1.9688504,Test1,task_working
-6.762189,5.7793827,Test1,rest
-10.341536,11.297931,Test1,task_story
-0.8080624,-2.3105273,Test1,task_motor
-8.847402,12.620931,Test1,rest
-8.500747,6.5328884,Test1,task_motor
-8.221702,13.054781,Test1,task_story
-8.125262,13.126471,Test1,task_story
4.8764544,-6.494177,Test1,task_working
-4.6180434,4.127622,Test1,task_motor
-2.1543834,2.704608,Test1,task_motor
0.13140504,-1.3903327,Test1,task_working
-10.332338,11.308975,Test1,rest
2.9376848,-4.0928974,Test2,rest
-0.34044325,-0.0076155183,Test2,task_working
6.753102,-8.481354,Test2,task_working
9.2397,-10.919855,Test2,task_story
0.021043627,1.191841,Test2,rest
8.604965,-11.518774,Test2,task_motor
9.332554,-11.284106,Test2,task_motor
4.19678,-5.9477983,Test2,rest
-0.7816249,-2.1430588,Test2,task_story
-1.5872986,2.5061073,Test2,rest
8.242378,-9.826945,Test2,task_story
6.1277432,-6.875485,Test2,task_working
8.844604,-11.067389,Test2,task_motor
7.3284764,-7.39249,Test2,task_story
5.031564,-4.9474487,Test2,task_working
8.802765,-11.530709,Test2,task_motor
5.6446605,-8.926541,Test3,rest
4.759484,-4.6920543,Test3,task_working
4.1519365,-5.245811,Test3,task_working
7.413202,-10.083737,Test3,task_working
-0.9014215,-0.23384935,Test3,task_story
-9.601556,7.6994004,Test3,task_story
6.4371204,-9.211178,Test3,task_motor
-5.533732,5.4220843,Test3,task_motor
-1.5779392,2.1280742,Test3,rest
9.553214,-11.965428,Test3,task_story
-7.779644,5.9619126,Test3,task_motor
9.491424,-10.761636,Test3,task_story
-10.708851,9.548334,Test3,task_motor
-10.314986,7.462544,Test3,rest
-1.9302485,1.3513979,Test3,rest
-2.2728174,1.7512991,Test3,task_working
